work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Engineer,21695,IN,50,IN,M
2020,EN,FT,Research Scientist,42000,NL,50,NL,L
2020,MI,FT,Lead Data Scientist,115000,AE,0,AE,L
2021,MI,FT,Research Scientist,63971,CA,100,CA,M
2020,SE,FT,Machine Learning Scientist,260000,JP,0,JP,S
2021,MI,FT,Head of Data Science,110000,US,0,US,S
2021,MI,FT,Data Architect,180000,US,100,US,L
2021,SE,FT,Data Analyst,200000,US,100,US,L
2020,SE,FT,Big Data Engineer,109024,GB,50,GB,M
2021,SE,FT,Director of Data Engineering,200000,US,100,US,L
2021,SE,FT,ML Engineer,256000,US,100,US,S
2021,MI,FT,Data Engineer,110000,US,100,US,L
2020,MI,FT,Data Scientist,79833,DE,0,DE,L
2021,EN,FT,Data Engineer,72500,US,100,US,L
2021,SE,FT,Machine Learning Engineer,185000,US,50,US,L
2021,EN,FT,Research Scientist,100000,JE,0,CN,L
2021,MI,FT,Data Engineer,112000,US,100,US,L
2020,SE,FT,Machine Learning Engineer,150000,US,50,US,L
2021,SE,FT,Data Scientist,21843,TR,50,TR,L
2021,SE,FT,AI Scientist,55000,ES,100,ES,L
2021,EN,FT,Data Scientist,58000,US,50,US,L
2021,EN,FT,Data Scientist,100000,US,100,US,M
2021,SE,FT,Data Scientist,78340,FR,50,FR,M
2021,EN,FT,Machine Learning Engineer,85000,NL,100,DE,S
2021,EN,FT,Data Science Consultant,77481,DE,0,DE,L
2020,EN,FT,Data Analyst,72000,US,100,US,L
2021,EN,FT,Data Engineer,65561,DE,50,DE,M
2021,MI,FT,Data Engineer,30337,TR,100,TR,M
2021,MI,FT,Data Engineer,111775,US,0,US,M
2021,MI,FT,Data Engineer,93150,US,0,US,M
2021,SE,FT,Lead Data Engineer,160000,PR,50,US,S
2021,MI,FT,Data Scientist,25747,RS,100,DE,S
2021,SE,FT,Machine Learning Engineer,66442,IN,0,IN,L
2021,MI,FT,Data Scientist,16949,IN,100,IN,S
2021,SE,FT,Data Analyst,64369,DE,50,DE,L
2020,SE,FT,Lead Data Scientist,190000,US,100,US,S
2021,EN,FT,Big Data Engineer,16271,IN,100,IN,L
2021,SE,FT,Data Analyst,71968,CA,100,CA,M
2020,MI,FT,Data Scientist,35735,HU,50,HU,L
2021,SE,FT,Data Scientist,135000,US,0,US,L
2021,EN,FT,Machine Learning Engineer,25032,DE,50,DE,M
2021,SE,FT,Data Science Manager,54238,IN,50,US,L
2021,SE,FT,Machine Learning Engineer,24407,IN,100,IN,L
2021,EN,FT,BI Data Analyst,9272,KE,100,KE,S
2021,MI,FT,Data Scientist,147000,US,50,US,L
2021,SE,FT,Research Scientist,96357,CA,50,CA,L
2021,SE,FT,Data Science Manager,174000,US,100,US,L
2020,MI,FT,Business Data Analyst,135000,US,100,US,L
2021,EN,FT,Machine Learning Engineer,21844,CO,50,CO,M
2020,SE,FT,Lead Data Engineer,125000,NZ,50,NZ,S
2020,EN,FT,Data Scientist,51321,FR,0,FR,S
2020,MI,FT,Data Scientist,40481,IN,0,IN,L
2021,SE,FT,Data Analytics Engineer,50000,VN,100,GB,M
2021,MI,FT,Data Engineer,4000,IR,100,IR,M
2020,EN,FT,Data Scientist,39916,FR,0,FR,M
2020,MI,FT,Lead Data Analyst,87000,US,100,US,L
2021,MI,FT,Data Engineer,26224,RO,0,US,L
2021,MI,FT,Data Scientist,91500,DE,50,DE,L
2021,MI,FT,Big Data Engineer,22671,IN,0,IN,L
2021,MI,FT,Data Scientist,5695,IN,100,US,S
2021,EN,FT,Machine Learning Engineer,81000,US,50,US,S
2021,MI,FT,Data Scientist,40798,CL,100,CL,L
2021,MI,FT,Data Scientist,2876,MX,0,MX,S
2021,EN,FT,Data Science Consultant,90000,US,100,US,S
2021,MI,FT,Data Scientist,61985,DE,50,AT,M
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,US,100,US,M
2021,MI,FT,Data Scientist,38144,ES,100,ES,L
2020,MI,FT,Data Analyst,85000,US,100,US,L
2021,SE,FT,Machine Learning Scientist,225000,US,100,CA,L
2021,MI,FT,Data Scientist,56578,GB,50,GB,L
2021,MI,FT,Data Scientist,33899,IN,0,IN,M
2021,MI,FT,Data Scientist,117583,GB,50,GB,L
2021,MI,FT,Machine Learning Engineer,47129,PL,100,PL,L
2020,MI,FT,Data Analyst,8000,PK,50,PK,L
2020,EN,FT,Data Engineer,41689,JP,100,JP,S
2020,SE,FT,Big Data Engineer,114047,PL,100,GB,S
2021,MI,FT,Machine Learning Engineer,89402,BE,100,BE,M
2020,EN,FT,Data Science Consultant,5707,IN,50,IN,M
2020,MI,FT,Lead Data Engineer,56000,PT,100,US,M
2021,MI,FT,Data Scientist,89402,DE,50,DE,L
2020,MI,FT,Machine Learning Engineer,43331,CN,0,CN,M
2020,MI,FT,Product Data Analyst,6072,IN,100,IN,L
2020,SE,FT,Data Engineer,47899,GR,50,GR,L
2020,MI,FT,BI Data Analyst,98000,US,0,US,M
2021,MI,FT,Data Engineer,66400,HK,50,GB,S
2021,MI,FT,Research Scientist,57217,FR,50,FR,S
2021,MI,FT,Machine Learning Engineer,25032,SI,50,SI,L
2021,SE,FT,Data Analytics Manager,120000,US,0,US,L
2021,SE,FT,Machine Learning Engineer,200000,US,100,US,L
2020,EN,FT,AI Scientist,45896,DK,50,DK,S
2021,MI,FT,Data Scientist,160000,US,100,US,L
2021,SE,FT,Research Scientist,50000,FR,100,US,S
2021,MI,FT,Data Science Engineer,40529,GR,100,GR,M
2021,MI,FT,Data Scientist,13000,BR,0,BR,S
2021,SE,FT,Data Engineer,165000,US,0,US,M
2021,EN,FT,Big Data Engineer,5898,IN,0,CH,L
2020,MI,FT,Data Scientist,42197,FR,50,FR,S
2021,SE,FT,Principal Data Engineer,185000,US,100,US,L
2020,EN,FT,Data Scientist,62726,DE,50,DE,S
2021,MI,FT,Data Scientist,91500,DE,50,DE,L
2020,MI,FT,Data Engineer,110000,US,100,US,L
2021,SE,FT,Data Analytics Manager,140000,US,100,US,L
2020,SE,FT,Data Scientist,120000,US,50,US,L
2021,SE,FT,Data Scientist,87961,CA,100,CA,S
2021,SE,FT,Finance Data Analyst,62250,GB,50,GB,L
2021,SE,FT,Data Engineer,77481,RO,50,GB,S
2021,MI,FT,Machine Learning Engineer,74000,JP,50,JP,S
2021,SE,FT,Data Science Manager,152000,US,100,FR,L
2021,MI,FT,Big Data Engineer,18000,MD,0,MD,S
2021,MI,FT,Data Scientist,130000,US,50,US,L
2021,SE,FT,Computer Vision Engineer,19052,BR,0,BR,M
2021,EN,FT,Business Data Analyst,59601,LU,100,LU,L
2021,SE,FT,Principal Data Scientist,175228,DE,100,DE,M
2020,SE,FT,Principal Data Scientist,148261,DE,100,DE,M
2020,MI,FT,Data Scientist,38776,ES,100,ES,M
2021,MI,FT,Data Scientist,47204,ES,100,ES,M
2021,EN,FT,Data Scientist,4000,VN,0,VN,M
2021,EN,FT,AI Scientist,18102,IN,100,AS,S
2020,SE,FT,Data Scientist,91237,AT,0,AT,S
2020,MI,FT,Data Scientist,62726,FR,50,LU,S
2021,MI,FT,Data Scientist,115000,US,50,US,L
2021,SE,FT,Principal Data Scientist,235000,US,100,US,L
2021,MI,FT,Lead Data Analyst,19661,IN,100,IN,L
2021,MI,FT,Data Analyst,75000,US,0,US,L
2021,MI,FT,Data Analyst,62000,US,0,US,L
2021,MI,FT,Data Scientist,73000,US,0,US,L
2021,MI,FT,Data Engineer,45773,NL,100,NL,L
2020,SE,FT,Data Science Manager,190200,US,100,US,M
2020,MI,FT,Data Scientist,118000,US,100,US,M
2020,MI,FT,Data Scientist,138350,US,100,US,M
2020,MI,FT,Data Engineer,130800,ES,100,US,M
2020,SE,FT,Machine Learning Engineer,45618,HR,100,HR,S
2021,SE,FT,Director of Data Science,168000,JP,0,JP,S
2021,MI,FT,Data Scientist,119353,SG,100,IL,M
2021,MI,FT,Applied Machine Learning Scientist,423000,US,50,US,L
2021,MI,FT,Data Engineer,28608,MT,50,MT,L
2021,SE,FT,Data Specialist,165000,US,100,US,L
2020,SE,FT,Data Scientist,412000,US,100,US,L
2021,MI,FT,Principal Data Scientist,151000,US,100,US,L
2020,EN,FT,Data Scientist,105000,US,100,US,S
2021,SE,FT,Data Science Manager,94917,IN,50,IN,L
